airline_name,flight_iata,departure_scheduled,departure_airport,arrival_airport
Qantas,QF5267,2025-08-27T05:00:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Virgin Atlantic,VS8726,2025-08-27T05:00:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
IndiGo,6E449,2025-08-27T05:00:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Lufthansa,LH5284,2025-08-27T05:10:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Air India,AI2975,2025-08-27T05:10:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Air India,AI2927,2025-08-27T05:45:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Japan Airlines,JL9251,2025-08-27T06:00:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
KLM,KL3648,2025-08-27T06:00:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Qantas,QF5295,2025-08-27T06:00:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Virgin Atlantic,VS8740,2025-08-27T06:00:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
IndiGo,6E6218,2025-08-27T06:00:00+00:00,Indira Gandhi International,Chhatrapati Shivaji International (Sahar International)
Air India,AI9483,2025-08-27T05:00:00+00:00,Indira Gandhi International,Bangalore International Airport
Air India Express,IX2508,2025-08-27T05:00:00+00:00,Indira Gandhi International,Bangalore International Airport
American Airlines,AA9178,2025-08-27T05:25:00+00:00,Indira Gandhi International,Bangalore International Airport
Air France,AF3346,2025-08-27T05:25:00+00:00,Indira Gandhi International,Bangalore International Airport
Japan Airlines,JL9050,2025-08-27T05:25:00+00:00,Indira Gandhi International,Bangalore International Airport
Qantas,QF5042,2025-08-27T05:25:00+00:00,Indira Gandhi International,Bangalore International Airport
Virgin Atlantic,VS8720,2025-08-27T05:25:00+00:00,Indira Gandhi International,Bangalore International Airport
IndiGo,6E2069,2025-08-27T05:25:00+00:00,Indira Gandhi International,Bangalore International Airport
ANA,NH5592,2025-08-27T03:20:00+00:00,Indira Gandhi International,Suvarnabhumi International
Thai Airways International,TG332,2025-08-27T03:20:00+00:00,Indira Gandhi International,Suvarnabhumi International
American Airlines,AA9174,2025-08-27T05:50:00+00:00,Indira Gandhi International,Sardar Vallabhbhai Patel International Airport
Air France,AF3795,2025-08-27T05:50:00+00:00,Indira Gandhi International,Sardar Vallabhbhai Patel International Airport
Japan Airlines,JL9042,2025-08-27T05:50:00+00:00,Indira Gandhi International,Sardar Vallabhbhai Patel International Airport
KLM,KL3644,2025-08-27T05:50:00+00:00,Indira Gandhi International,Sardar Vallabhbhai Patel International Airport
Qantas,QF5343,2025-08-27T05:50:00+00:00,Indira Gandhi International,Sardar Vallabhbhai Patel International Airport
Virgin Atlantic,VS8683,2025-08-27T05:50:00+00:00,Indira Gandhi International,Sardar Vallabhbhai Patel International Airport
IndiGo,6E6261,2025-08-27T05:50:00+00:00,Indira Gandhi International,Sardar Vallabhbhai Patel International Airport
American Airlines,AA9209,2025-08-27T06:00:00+00:00,Indira Gandhi International,Sanganeer
Air France,AF6058,2025-08-27T06:00:00+00:00,Indira Gandhi International,Sanganeer
KLM,KL4531,2025-08-27T06:00:00+00:00,Indira Gandhi International,Sanganeer
Qantas,QF5397,2025-08-27T06:00:00+00:00,Indira Gandhi International,Sanganeer
Virgin Atlantic,VS8715,2025-08-27T06:00:00+00:00,Indira Gandhi International,Sanganeer
IndiGo,6E6483,2025-08-27T06:00:00+00:00,Indira Gandhi International,Sanganeer
Virgin Atlantic,VS8944,2025-08-27T06:10:00+00:00,Indira Gandhi International,Surat
IndiGo,6E2272,2025-08-27T06:10:00+00:00,Indira Gandhi International,Surat
Air India Express,IX1038,2025-08-27T06:10:00+00:00,Indira Gandhi International,Surat
Singapore Airlines,SQ4963,2025-08-27T06:35:00+00:00,Indira Gandhi International,Raja Sansi International Airport
SriLankan Airlines,UL3600,2025-08-27T06:35:00+00:00,Indira Gandhi International,Raja Sansi International Airport
Air India,AI495,2025-08-27T06:35:00+00:00,Indira Gandhi International,Raja Sansi International Airport
IndiGo,6E6371,2025-08-27T06:30:00+00:00,Indira Gandhi International,Dibrugarh
American Airlines,AA8944,2025-08-27T01:15:00+00:00,Indira Gandhi International,Hong Kong International
Japan Airlines,JL7908,2025-08-27T01:15:00+00:00,Indira Gandhi International,Hong Kong International
Miat - Mongolian Airlines,OM5751,2025-08-27T01:15:00+00:00,Indira Gandhi International,Hong Kong International
